;NPG;Assists;Passing %;Int;Tackles;Fouls
Musto;0.083643123;0;81.51595745;2.007434944;3.178438662;2.342007435
Poblete;0.071428571;0;85.25;1.285714286;3.428571429;1.214285714
Ascacibar;0;0;85.35980149;3.520625889;4.864864865;1.408250356
Rossi;0;0;82.36514523;2.582359192;4.686503719;2.869287991
Mercier;0;0;75.86206897;2.556818182;3.579545455;0.894886364
Martinez;0.126404494;0;79.07647908;1.896067416;2.212078652;1.137640449
Rinaudo;0;0;73.91304348;3.272727273;3.909090909;4.181818182
J. Blanco;0;0;71.70418006;1.112828439;5.42503864;2.782071097
Cubas;0;0;86.5625;2.775330396;4.559471366;1.982378855
Ponzio;0;0.07985803;75;2.475598935;5.270629991;1.836734694
Mussis 2;0;0.159857904;84.45595855;2.877442274;5.115452931;2.557726465
Mussis;0.141509434;0.141509434;83.29355609;2.830188679;2.122641509;3.113207547
